BUSINESS UNIT,BUSINESS LINE,ACTIVITY DATE,Sum of AHT,Sum of TOTAL TIME - AHT (sec),Sum of VOLUME - RECEIVED,Sum of CONFORMANCE,Sum of ADHERENCE,Sum of ABANDONMENT RATE,Sum of SERVICE LEVEL,Unplanned Out
WISE,WISE Contractual,5/1/2020,778,5670512,8827,#DIV/0!,#DIV/0!,17.40%,0.246856237,157.5833333
WISE,WISE Contractual,5/4/2020,768,5915537,10505,#DIV/0!,#DIV/0!,26.67%,0.13526892,305.75
WISE,WISE Contractual,5/5/2020,721,5547602,8217,#DIV/0!,#DIV/0!,6.32%,0.42813679,145.8833333
WISE,WISE Contractual,5/6/2020,690,4809295,7316,#DIV/0!,#DIV/0!,4.73%,0.631082559,131.5666667
WISE,WISE Contractual,5/7/2020,690,4553816,6804,#DIV/0!,#DIV/0!,2.95%,0.750587889,122.5
WISE,WISE Contractual,5/8/2020,712,4831989,7298,#DIV/0!,#DIV/0!,7.02%,0.451082488,209.5
WISE,WISE Contractual,5/11/2020,725,5691152,8692,#DIV/0!,#DIV/0!,9.66%,0.293258168,176.3833333
WISE,WISE Contractual,5/12/2020,676,4744659,7280,#DIV/0!,#DIV/0!,3.53%,0.691208791,145.75
WISE,WISE Contractual,5/13/2020,682,4335532,6606,#DIV/0!,#DIV/0!,3.71%,0.60505601,118.5
WISE,WISE Contractual,5/14/2020,681,4248464,6402,#DIV/0!,#DIV/0!,2.53%,0.737269603,182.9166667
WISE,WISE Contractual,5/15/2020,696,4117986,6397,#DIV/0!,#DIV/0!,7.53%,0.452712209,194.25
WISE,WISE Contractual,5/18/2020,719,5253943,8173,#DIV/0!,#DIV/0!,10.57%,0.28459562,238.45
WISE,WISE Contractual,5/19/2020,664,4443631,6877,#DIV/0!,#DIV/0!,2.72%,0.603460811,142.5833333
WISE,WISE Contractual,5/20/2020,665,4011069,6144,#DIV/0!,#DIV/0!,1.79%,0.744954427,73.25
WISE,WISE Contractual,5/21/2020,651,3562366,5526,#DIV/0!,#DIV/0!,0.96%,0.86301122,95
WISE,WISE Contractual,5/22/2020,676,3511391,5332,#DIV/0!,#DIV/0!,2.59%,0.768379595,182.6833333
WISE,WISE Contractual,5/25/2020,#DIV/0!,N/A,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0
WISE,WISE Contractual,5/26/2020,693,4760482,7900,#DIV/0!,#DIV/0!,13.10%,0.279367089,208.0833333
WISE,WISE Contractual,5/27/2020,673,4157495,6633,#DIV/0!,#DIV/0!,6.84%,0.42936831,141.8333333
WISE,WISE Contractual,5/28/2020,669,4001108,6109,#DIV/0!,#DIV/0!,2.16%,0.678016042,137.4333333
WISE,WISE Contractual,5/29/2020,681,3623316,5363,#DIV/0!,#DIV/0!,0.82%,0.884765989,134.3333333
WISE,WISE Contractual,6/1/2020,689,4839036,7356,#DIV/0!,#DIV/0!,4.55%,0.463159326,263
WISE,WISE Contractual,6/2/2020,664,4003208,6154,#DIV/0!,#DIV/0!,2.00%,0.750893728,204.5
WISE,WISE Contractual,6/3/2020,659,3783393,5927,#DIV/0!,#DIV/0!,3.19%,0.644676902,144.1666667
WISE,WISE Contractual,6/4/2020,676,3594462,5487,#DIV/0!,#DIV/0!,3.13%,0.654638236,118
WISE,WISE Contractual,6/5/2020,674,3864434,5986,#DIV/0!,#DIV/0!,4.18%,0.500668226,188.8333333
WISE,WISE Contractual,6/8/2020,689,4788930,8125,#DIV/0!,#DIV/0!,14.47%,0.285661538,284.5333333
WISE,WISE Contractual,6/9/2020,664,4035776,6357,#DIV/0!,#DIV/0!,4.45%,0.465628441,116
WISE,WISE Contractual,6/10/2020,656,3666188,5899,#DIV/0!,#DIV/0!,5.26%,0.484997457,87.66666667
WISE,WISE Contractual,6/11/2020,664,3490348,5609,#DIV/0!,#DIV/0!,6.35%,0.377785702,132.05
WISE,WISE Contractual,6/12/2020,651,3457111,5401,#DIV/0!,#DIV/0!,1.70%,0.697278282,153.5833333
WISE,WISE Contractual,6/15/2020,693,4542370,7300,#DIV/0!,#DIV/0!,10.16%,0.278219178,237.1833333
WISE,WISE Contractual,6/16/2020,651,3881156,6131,#DIV/0!,#DIV/0!,2.71%,0.548360789,224.1666667
WISE,WISE Contractual,6/17/2020,638,3528252,5661,#DIV/0!,#DIV/0!,2.24%,0.703762586,149.9833333
WISE,WISE Contractual,6/18/2020,639,3240789,5108,#DIV/0!,#DIV/0!,0.65%,0.866288175,164.0833333
WISE,WISE Contractual,6/19/2020,668,3253245,4988,#DIV/0!,#DIV/0!,2.41%,0.76904571,265.6166667
WISE,WISE Contractual,6/22/2020,667,4720898,7327,#DIV/0!,#DIV/0!,3.40%,0.588235294,187.2
WISE,WISE Contractual,6/23/2020,639,3955532,6267,#DIV/0!,#DIV/0!,1.23%,0.831338759,121.3333333
WISE,WISE Contractual,6/24/2020,629,3482535,5604,#DIV/0!,#DIV/0!,1.16%,0.796216988,83.5
WISE,WISE Contractual,6/25/2020,639,3205406,5105,#DIV/0!,#DIV/0!,1.72%,0.831341822,85.41666667
WISE,WISE Contractual,6/26/2020,664,3420740,5261,#DIV/0!,#DIV/0!,2.07%,0.722296141,118.1666667
WISE,WISE Contractual,6/29/2020,678,4598256,7238,#DIV/0!,#DIV/0!,6.33%,0.383255043,185.3
WISE,WISE Contractual,6/30/2020,662,3844731,5947,#DIV/0!,#DIV/0!,2.39%,0.663023373,64.45
WISE,WISE Contractual,7/1/2020,653,3489181,5434,#DIV/0!,#DIV/0!,1.64%,0.756348914,98.41666667
WISE,WISE Contractual,7/2/2020,652,2965199,4665,#DIV/0!,#DIV/0!,2.47%,0.613076099,122.6166667
WISE,WISE Contractual,7/3/2020,#DIV/0!,N/A,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0
WISE,WISE Contractual,7/6/2020,732,4486440,8563,#DIV/0!,#DIV/0!,28.45%,0.150531356,204.1666667
WISE,WISE Contractual,7/7/2020,703,4093998,7478,#DIV/0!,#DIV/0!,22.16%,0.21342605,180.4333333
WISE,WISE Contractual,7/8/2020,720,3512055,6701,#DIV/0!,#DIV/0!,27.19%,0.156245337,150.8333333
WISE,WISE Contractual,7/9/2020,707,3424703,5887,#DIV/0!,#DIV/0!,17.75%,0.203669101,215.4166667
WISE,WISE Contractual,7/10/2020,703,3573830,5786,#DIV/0!,#DIV/0!,12.18%,0.307984791,218.4166667
WISE,WISE Contractual,7/13/2020,706,4409522,8299,#DIV/0!,#DIV/0!,24.70%,0.211953247,281.05
WISE,WISE Contractual,7/14/2020,693,3895822,6754,#DIV/0!,#DIV/0!,16.78%,0.262511105,187.15
WISE,WISE Contractual,7/15/2020,679,3556194,6583,#DIV/0!,#DIV/0!,20.40%,0.248367006,215.8
WISE,WISE Contractual,7/16/2020,670,3474112,5940,#DIV/0!,#DIV/0!,12.71%,0.290740741,187.5
WISE,WISE Contractual,7/17/2020,654,3441255,5786,#DIV/0!,#DIV/0!,9.02%,0.373487729,213.0333333
WISE,WISE Contractual,7/20/2020,693,4275864,7680,#DIV/0!,#DIV/0!,19.69%,0.206901042,260.95
WISE,WISE Contractual,7/21/2020,664,3563758,6650,#DIV/0!,#DIV/0!,19.31%,0.241954887,190.5833333
WISE,WISE Contractual,7/22/2020,654,3398919,6132,#DIV/0!,#DIV/0!,15.22%,0.210861057,168.7333333
WISE,WISE Contractual,7/23/2020,640,3318069,5340,#DIV/0!,#DIV/0!,2.96%,0.603745318,164.6166667
WISE,WISE Contractual,7/24/2020,684,3460179,5179,#DIV/0!,#DIV/0!,2.32%,0.659200618,195.5333333
WISE,WISE Contractual,7/27/2020,685,4316443,7154,#DIV/0!,#DIV/0!,11.92%,0.263209393,335.1833333
WISE,WISE Contractual,7/28/2020,657,3672690,5757,#DIV/0!,#DIV/0!,2.87%,0.647559493,203.8333333
WISE,WISE Contractual,7/29/2020,662,3402164,5411,#DIV/0!,#DIV/0!,4.97%,0.433930882,158.0833333
WISE,WISE Contractual,7/30/2020,668,3326682,5463,#DIV/0!,#DIV/0!,8.86%,0.357129782,117.4166667
WISE,WISE Contractual,7/31/2020,691,3436947,5539,#DIV/0!,#DIV/0!,10.16%,0.363423001,191.15
WISE,WISE Contractual,8/3/2020,720,4102608,8159,#DIV/0!,#DIV/0!,30.16%,0.142419414,310.3
WISE,WISE Contractual,8/4/2020,692,3892236,6954,#DIV/0!,#DIV/0!,19.17%,0.264020708,179.25
WISE,WISE Contractual,8/5/2020,678,3556476,6255,#DIV/0!,#DIV/0!,16.16%,0.239008793,114.8166667
WISE,WISE Contractual,8/6/2020,672,3546214,5796,#DIV/0!,#DIV/0!,8.97%,0.26673568,148.9166667
WISE,WISE Contractual,8/7/2020,660,3290424,5490,#DIV/0!,#DIV/0!,8.54%,0.389988999,177.1333333
WISE,WISE Contractual,8/10/2020,680,4221938,7518,#DIV/0!,#DIV/0!,16.60%,0.261534335,190.75
WISE,WISE Contractual,8/11/2020,656,3692470,6263,#DIV/0!,#DIV/0!,9.87%,0.344385712,140.2166667
WISE,WISE Contractual,8/12/2020,641,3358827,5584,#DIV/0!,#DIV/0!,6.04%,0.478916203,111.5333333
WISE,WISE Contractual,8/13/2020,650,3260606,5596,#DIV/0!,#DIV/0!,9.90%,0.357271095,108.6166667
WISE,WISE Contractual,8/14/2020,666,3200512,5390,#DIV/0!,#DIV/0!,10.61%,0.321362114,132.5166667
WISE,WISE Contractual,8/17/2020,676,4159545,6998,#DIV/0!,#DIV/0!,11.47%,0.325143678,153.2666667
WISE,WISE Contractual,8/18/2020,666,3620040,5857,#DIV/0!,#DIV/0!,6.85%,0.380846325,95.8
WISE,WISE Contractual,8/19/2020,663,3234626,5447,#DIV/0!,#DIV/0!,10.08%,0.295764273,65.3
WISE,WISE Contractual,8/20/2020,663,3089026,5232,#DIV/0!,#DIV/0!,10.67%,0.29601227,90.58333333
WISE,WISE Contractual,8/21/2020,670,3293808,5318,#DIV/0!,#DIV/0!,7.07%,0.371174915,170.25
WISE,WISE Contractual,8/24/2020,664,4090006,6856,#DIV/0!,#DIV/0!,9.60%,0.320920686,272.4833333
WISE,WISE Contractual,8/25/2020,653,3500819,5742,#DIV/0!,#DIV/0!,6.32%,0.451877729,147.9666667
WISE,WISE Contractual,8/26/2020,647,3094483,5450,#DIV/0!,#DIV/0!,11.74%,0.294855246,103.0333333
WISE,WISE Contractual,8/27/2020,651,3165471,5241,#DIV/0!,#DIV/0!,6.85%,0.414096916,86.25
WISE,WISE Contractual,8/28/2020,653,3095877,5303,#DIV/0!,#DIV/0!,10.30%,0.352195307,151
WISE,WISE Contractual,8/31/2020,681,4317349,7368,#DIV/0!,#DIV/0!,13.22%,0.320437457,200.0833333
WISE,WISE Contractual,9/1/2020,645,3502585,6268,#DIV/0!,#DIV/0!,12.80%,0.353752405,95.41666667
WISE,WISE Contractual,9/2/2020,659,3455739,6513,#DIV/0!,#DIV/0!,18.55%,0.204214441,51.25
WISE,WISE Contractual,9/3/2020,642,3149454,5721,#DIV/0!,#DIV/0!,13.18%,0.306659601,60.88333333
WISE,WISE Contractual,9/4/2020,669,2905848,5077,#DIV/0!,#DIV/0!,13.43%,0.254675686,97.88333333
WISE,WISE Contractual,9/7/2020,#DIV/0!,N/A,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0
WISE,WISE Contractual,9/8/2020,688,4530763,7653,#DIV/0!,#DIV/0!,13.05%,0.258800264,153.5
WISE,WISE Contractual,9/9/2020,664,3581253,6212,#DIV/0!,#DIV/0!,12.67%,0.261615671,77.08333333
WISE,WISE Contractual,9/10/2020,655,3298292,5869,#DIV/0!,#DIV/0!,13.44%,0.239526099,92.66666667
WISE,WISE Contractual,9/11/2020,676,3232069,5601,#DIV/0!,#DIV/0!,13.89%,0.294816415,106.25
WISE,WISE Contractual,9/14/2020,722,4656835,7170,#DIV/0!,#DIV/0!,9.41%,0.315087719,169.7166667
WISE,WISE Contractual,9/15/2020,716,3725133,6162,#DIV/0!,#DIV/0!,14.77%,0.281485116,150.9166667
WISE,WISE Contractual,9/16/2020,721,3485728,5377,#DIV/0!,#DIV/0!,8.96%,0.335965407,88.16666667
WISE,WISE Contractual,9/17/2020,688,3176617,5042,#DIV/0!,#DIV/0!,8.03%,0.351781804,101.5
WISE,WISE Contractual,9/18/2020,700,3292824,5028,#DIV/0!,#DIV/0!,6.38%,0.424447541,136.5
WISE,WISE Contractual,9/21/2020,721,4552144,6555,#DIV/0!,#DIV/0!,3.60%,0.547757095,143.9166667
WISE,WISE Contractual,9/22/2020,688,3491347,5348,#DIV/0!,#DIV/0!,3.14%,0.719351764,133.8333333
WISE,WISE Contractual,9/23/2020,708,3478502,4968,#DIV/0!,#DIV/0!,1.15%,0.79126409,114.0333333
WISE,WISE Contractual,9/24/2020,690,3172990,4675,#DIV/0!,#DIV/0!,1.58%,0.692126658,79.26666667
WISE,WISE Contractual,9/25/2020,715,3225080,4593,#DIV/0!,#DIV/0!,1.85%,0.664924886,168.3333333
WISE,WISE Contractual,9/28/2020,688,4148651,6218,#DIV/0!,#DIV/0!,3.06%,0.670098118,199.4166667
WISE,WISE Contractual,9/29/2020,685,3504657,5340,#DIV/0!,#DIV/0!,4.04%,0.561350844,91.83333333
WISE,WISE Contractual,9/30/2020,675,3348725,5095,#DIV/0!,#DIV/0!,2.53%,0.712939328,67
WISE,WISE Contractual,10/1/2020,670,3543247,5377,#DIV/0!,#DIV/0!,1.66%,0.780918728,127.9166667
WISE,WISE Contractual,10/2/2020,682,3436029,5083,#DIV/0!,#DIV/0!,0.83%,0.818378591,129.75
WISE,WISE Contractual,10/5/2020,672,4528605,6855,#DIV/0!,#DIV/0!,1.71%,0.646681255,233.6833333
WISE,WISE Contractual,10/6/2020,665,3806514,5899,#DIV/0!,#DIV/0!,3.03%,0.543481946,146
WISE,WISE Contractual,10/7/2020,672,3556936,5456,#DIV/0!,#DIV/0!,2.84%,0.598165138,120.15
WISE,WISE Contractual,10/8/2020,653,3187625,4911,#DIV/0!,#DIV/0!,0.57%,0.865404195,137.4
WISE,WISE Contractual,10/9/2020,669,3440358,5281,#DIV/0!,#DIV/0!,2.63%,0.640409013,129.5833333
WISE,WISE Contractual,10/12/2020,685,4261212,6322,#DIV/0!,#DIV/0!,1.61%,0.684335443,225.6166667
WISE,WISE Contractual,10/13/2020,662,3977501,6124,#DIV/0!,#DIV/0!,1.86%,0.701175702,128.9166667
WISE,WISE Contractual,10/14/2020,669,3809492,5865,#DIV/0!,#DIV/0!,2.81%,0.602524736,78.96666667
WISE,WISE Contractual,10/15/2020,652,3561230,5540,#DIV/0!,#DIV/0!,1.39%,0.77938256,82.55
WISE,WISE Contractual,10/16/2020,668,3591948,5497,#DIV/0!,#DIV/0!,2.09%,0.687954876,125.8333333
WISE,WISE Contractual,10/19/2020,684,5058557,7585,#DIV/0!,#DIV/0!,2.49%,0.604721709,148.0333333
WISE,WISE Contractual,10/20/2020,687,4161403,6397,#DIV/0!,#DIV/0!,5.03%,0.411561961,111.6
WISE,WISE Contractual,10/21/2020,672,3729871,5795,#DIV/0!,#DIV/0!,3.99%,0.623140782,71.23333333
WISE,WISE Contractual,10/22/2020,666,3544442,5433,#DIV/0!,#DIV/0!,1.97%,0.683173785,91.28333333
WISE,WISE Contractual,10/23/2020,663,3477390,5394,#DIV/0!,#DIV/0!,2.67%,0.697588126,96.25
WISE,WISE Contractual,10/26/2020,678,4925635,7468,#DIV/0!,#DIV/0!,2.66%,0.674212994,167.5333333
WISE,WISE Contractual,10/27/2020,672,4211804,6390,#DIV/0!,#DIV/0!,1.89%,0.642510565,137.7833333
WISE,WISE Contractual,10/28/2020,662,3818609,6101,#DIV/0!,#DIV/0!,5.05%,0.453274103,109.5666667
WISE,WISE Contractual,10/29/2020,691,3720494,5811,#DIV/0!,#DIV/0!,6.92%,0.39381372,101.3
WISE,WISE Contractual,10/30/2020,694,3684155,5727,#DIV/0!,#DIV/0!,6.81%,0.385884831,118.4166667
WISE,WISE Contractual,11/2/2020,678,4956687,7706,#DIV/0!,#DIV/0!,4.75%,0.445400052,201.3166667
WISE,WISE Contractual,11/3/2020,639,3592420,5976,#DIV/0!,#DIV/0!,5.30%,0.569191919,98.48333333
WISE,WISE Contractual,11/4/2020,663,3760831,5814,#DIV/0!,#DIV/0!,2.34%,0.749354005,124.25
WISE,WISE Contractual,11/5/2020,669,3660352,5793,#DIV/0!,#DIV/0!,5.25%,0.530481469,89.46666667
WISE,WISE Contractual,11/6/2020,689,3708741,6033,#DIV/0!,#DIV/0!,10.51%,0.281057708,134.05
WISE,WISE Contractual,11/9/2020,688,4960023,8203,#DIV/0!,#DIV/0!,11.64%,0.29440568,137.6833333
WISE,WISE Contractual,11/10/2020,680,4367030,6832,#DIV/0!,#DIV/0!,5.72%,0.438426538,39.8
WISE,WISE Contractual,11/11/2020,660,3479512,5446,#DIV/0!,#DIV/0!,3.14%,0.673897059,84.43333333
WISE,WISE Contractual,11/12/2020,676,3285069,5837,#DIV/0!,#DIV/0!,16.48%,0.390968407,67.5
WISE,WISE Contractual,11/13/2020,680,3812859,6157,#DIV/0!,#DIV/0!,8.69%,0.306916192,117.6666667
WISE,WISE Contractual,11/16/2020,692,5231579,8758,#DIV/0!,#DIV/0!,13.50%,0.286613272,225.2166667
WISE,WISE Contractual,11/17/2020,654,5558095,10271,#DIV/0!,#DIV/0!,16.97%,0.231452558,150.9333333
WISE,WISE Contractual,11/18/2020,658,5369232,8648,#DIV/0!,#DIV/0!,5.71%,0.431082331,137.1666667
Client Transactions,Client Transactions,1/1/2019,0,0,343,#DIV/0!,#DIV/0!,0.00%,0,0
Client Transactions,Client Transactions,1/2/2019,390,1104801,2768,88.93%,65.53%,138.91%,0,32.5
Client Transactions,Client Transactions,1/3/2019,357,989834,2750,77.22%,65.58%,139.31%,0,17.75
Client Transactions,Client Transactions,1/4/2019,334,1021134,2557,83.31%,65.81%,130.43%,0,20.25
Client Transactions,Client Transactions,1/7/2019,298,988803,2675,69.70%,55.92%,106.47%,0,8.25
Client Transactions,Client Transactions,1/8/2019,349,810561,2283,72.43%,55.16%,123.08%,0,0
Client Transactions,Client Transactions,1/9/2019,377,871633,2489,83.55%,60.06%,120.05%,0,0
Client Transactions,Client Transactions,1/10/2019,437,855574,2222,74.45%,57.24%,146.49%,0,1.5
Client Transactions,Client Transactions,1/11/2019,331,872486,3345,76.40%,57.30%,47.53%,0,8.166666667
Client Transactions,Client Transactions,1/14/2019,264,808860,3000,74.13%,58.01%,56.33%,0,7
Client Transactions,Client Transactions,1/15/2019,262,792773,3385,76.68%,59.25%,60.68%,0,11
Client Transactions,Client Transactions,1/16/2019,362,830748,3211,76.38%,60.22%,92.56%,0,9
Client Transactions,Client Transactions,1/17/2019,460,1017898,3230,84.69%,66.88%,123.56%,0,19.5
Client Transactions,Client Transactions,1/18/2019,335,909628,2536,80.12%,64.90%,150.28%,0,12.5
Client Transactions,Client Transactions,1/21/2019,313,252579,804,70.58%,49.90%,298.01%,0,0
Client Transactions,Client Transactions,1/22/2019,357,828593,3270,91.17%,67.97%,102.23%,0,50.75
Client Transactions,Client Transactions,1/23/2019,349,875737,2814,54.68%,60.02%,129.64%,0,16
Client Transactions,Client Transactions,1/24/2019,364,949223,2509,101.08%,63.17%,141.37%,0,18
Client Transactions,Client Transactions,1/25/2019,260,800568,2758,73.21%,57.08%,116.90%,0,21.5
Client Transactions,Client Transactions,1/28/2019,235,849290,3246,76.02%,59.67%,93.35%,0,21.75
Client Transactions,Client Transactions,1/29/2019,265,792799,2953,74.40%,51.86%,101.29%,0,8
Client Transactions,Client Transactions,1/30/2019,350,899804,3038,80.52%,59.25%,113.89%,0,25
Client Transactions,Client Transactions,1/31/2019,277,893618,3089,78.24%,57.15%,107.61%,0,8
Client Transactions,Client Transactions,2/1/2019,241,787981,2715,68.60%,52.21%,101.92%,0,9.5
Client Transactions,Client Transactions,2/4/2019,251,824189,2542,79.56%,63.22%,102.08%,0,24.5
Client Transactions,Client Transactions,2/5/2019,313,787538,2448,78.08%,56.55%,103.06%,0,18
Client Transactions,Client Transactions,2/6/2019,333,807982,2827,77.89%,60.26%,103.47%,0,7.916666667
Client Transactions,Client Transactions,2/7/2019,348,843041,2253,83.73%,65.14%,122.19%,0,21.5
Client Transactions,Client Transactions,2/8/2019,303,904029,2721,85.54%,63.94%,91.58%,0,8
Client Transactions,Client Transactions,2/11/2019,287,833598,2730,84.63%,66.10%,89.16%,0,20.5
Client Transactions,Client Transactions,2/12/2019,307,716710,2509,75.54%,57.45%,103.83%,0,27
Client Transactions,Client Transactions,2/13/2019,370,887853,2959,82.33%,63.91%,106.93%,0,17
Client Transactions,Client Transactions,2/14/2019,352,944597,2810,89.07%,66.75%,117.08%,0,25.5
Client Transactions,Client Transactions,2/15/2019,290,926141,2770,81.48%,67.64%,103.54%,0,17
Client Transactions,Client Transactions,2/18/2019,155,84514,833,85.80%,63.65%,386.67%,0,0
Client Transactions,Client Transactions,2/19/2019,376,1152950,2729,87.80%,75.58%,105.79%,0,16.25
Client Transactions,Client Transactions,2/20/2019,394,1062025,3205,77.88%,68.66%,105.90%,0,8
Client Transactions,Client Transactions,2/21/2019,313,836596,2194,74.47%,64.82%,132.91%,0,33
Client Transactions,Client Transactions,2/22/2019,324,945149,2614,83.41%,68.73%,100.00%,0,18.5
Client Transactions,Client Transactions,2/25/2019,291,932909,3149,78.98%,67.66%,82.85%,0,21
Client Transactions,Client Transactions,2/26/2019,303,850035,2995,90.06%,66.40%,93.42%,0,27
Client Transactions,Client Transactions,2/27/2019,321,824851,2962,81.90%,68.22%,107.66%,0,28.5
Client Transactions,Client Transactions,2/28/2019,318,850546,2812,77.29%,66.25%,118.31%,0,22.75
Client Transactions,Client Transactions,3/1/2019,289,947321,2921,87.34%,68.70%,101.78%,0,18.75
Client Transactions,Client Transactions,3/4/2019,346,1015237,2820,86.19%,70.44%,1.81%,0,18.75
Client Transactions,Client Transactions,3/5/2019,394,833988,2501,78.94%,63.96%,55.86%,0,31.5
Client Transactions,Client Transactions,3/6/2019,423,858911,2753,76.27%,62.25%,76.64%,0,17.5
Client Transactions,Client Transactions,3/7/2019,339,956777,3073,78.07%,65.37%,76.96%,0,10.5
Client Transactions,Client Transactions,3/8/2019,323,929902,2944,83.32%,68.81%,82.57%,0,0.5
Client Transactions,Client Transactions,3/11/2019,341,934985,2904,76.74%,66.53%,93.97%,0,20
Client Transactions,Client Transactions,3/12/2019,419,853452,2288,79.73%,63.89%,130.16%,0,13.5
Client Transactions,Client Transactions,3/13/2019,447,983232,2858,76.60%,66.22%,127.26%,0,25.75
Client Transactions,Client Transactions,3/14/2019,488,1092537,3619,87.39%,73.34%,138.60%,0,20
Client Transactions,Client Transactions,3/15/2019,320,1152216,3234,88.25%,74.60%,143.69%,0,18.91666667
Client Transactions,Client Transactions,3/18/2019,319,1070551,2961,82.00%,69.34%,147.82%,0,9
Client Transactions,Client Transactions,3/19/2019,339,969201,2587,92.18%,66.06%,158.76%,0,0
Client Transactions,Client Transactions,3/20/2019,352,1020907,2994,86.24%,69.10%,140.28%,0,1.75
Client Transactions,Client Transactions,3/21/2019,366,981090,2469,86.63%,72.21%,161.48%,0,7.083333333
Client Transactions,Client Transactions,3/22/2019,304,946252,2716,85.48%,72.46%,132.29%,0,3.5
Client Transactions,Client Transactions,3/25/2019,360,1069841,3948,81.96%,68.84%,50.73%,0,8.5
Client Transactions,Client Transactions,3/26/2019,355,881022,3111,88.19%,70.12%,84.54%,0,3
Client Transactions,Client Transactions,3/27/2019,394,969706,3246,85.72%,72.05%,105.11%,0,8
Client Transactions,Client Transactions,3/28/2019,449,1111169,2642,86.19%,70.98%,135.50%,0,3
Client Transactions,Client Transactions,3/29/2019,327,1323043,3386,94.86%,74.90%,86.06%,0,9.5
Client Transactions,Client Transactions,4/1/2019,288,865233,2765,81.83%,70.95%,100.07%,0,25.25
Client Transactions,Client Transactions,4/2/2019,344,775884,2307,80.13%,62.19%,122.11%,0,1
Client Transactions,Client Transactions,4/3/2019,406,905603,2495,77.48%,67.34%,123.13%,0,6
Client Transactions,Client Transactions,4/4/2019,414,901835,2082,81.72%,69.97%,143.18%,0,1
Client Transactions,Client Transactions,4/5/2019,325,887737,2405,80.52%,69.99%,110.44%,0,6
Client Transactions,Client Transactions,4/8/2019,313,927953,2739,86.73%,71.03%,91.38%,0,9.833333333
Client Transactions,Client Transactions,4/9/2019,350,789951,2164,84.77%,68.56%,111.41%,0,1.25
Client Transactions,Client Transactions,4/10/2019,338,970200,3301,86.29%,72.50%,86.10%,0,0.833333333
Client Transactions,Client Transactions,4/11/2019,456,986564,2849,89.46%,75.85%,123.80%,0,0
Client Transactions,Client Transactions,4/12/2019,382,975741,4382,89.35%,73.27%,36.72%,0,0.5
Client Transactions,Client Transactions,4/15/2019,315,936866,3395,88.18%,71.65%,62.65%,0,9.5
Client Transactions,Client Transactions,4/16/2019,339,819317,2840,85.79%,69.37%,89.72%,0,2
Client Transactions,Client Transactions,4/17/2019,342,764035,2752,73.21%,64.28%,111.34%,0,28.5
Client Transactions,Client Transactions,4/18/2019,380,956980,2454,90.08%,75.01%,122.25%,0,17.5
Client Transactions,Client Transactions,4/19/2019,347,120004,512,98.63%,59.25%,618.36%,0,0
Client Transactions,Client Transactions,4/22/2019,343,1122240,3177,87.40%,74.70%,96.35%,0,19
Client Transactions,Client Transactions,4/23/2019,323,932495,2626,93.60%,70.33%,106.63%,0,16
Client Transactions,Client Transactions,4/24/2019,393,919889,2670,81.89%,67.23%,117.12%,0,0
Client Transactions,Client Transactions,4/25/2019,411,943397,2250,85.68%,70.17%,136.93%,0,16
Client Transactions,Client Transactions,4/26/2019,328,891884,2543,86.47%,74.77%,114.20%,0,11
Client Transactions,Client Transactions,4/29/2019,328,922808,4325,83.91%,67.83%,36.72%,0,22.08333333
Client Transactions,Client Transactions,4/30/2019,328,859689,3219,82.83%,73.47%,16.43%,0,24
Client Transactions,Client Transactions,5/1/2019,374,871967,2636,84.28%,70.32%,61.04%,0,16
Client Transactions,Client Transactions,5/2/2019,415,885965,2373,84.00%,71.76%,77.83%,0,19.75
Client Transactions,Client Transactions,5/3/2019,309,840088,2672,84.46%,71.54%,67.44%,0,30
Client Transactions,Client Transactions,5/6/2019,350,896177,2675,83.89%,71.53%,73.16%,0,2
Client Transactions,Client Transactions,5/7/2019,410,783352,1883,79.81%,68.00%,102.55%,0,33
Client Transactions,Client Transactions,5/8/2019,459,950801,2523,83.63%,68.83%,94.41%,0,9
Client Transactions,Client Transactions,5/9/2019,403,807724,2143,74.14%,63.37%,117.59%,0,22
Client Transactions,Client Transactions,5/10/2019,302,838849,2661,85.28%,71.96%,90.45%,0,26.58333333
Client Transactions,Client Transactions,5/13/2019,327,835692,2549,78.44%,66.03%,96.23%,0,19.5
Client Transactions,Client Transactions,5/14/2019,375,806848,2063,82.23%,62.40%,114.69%,0,0
Client Transactions,Client Transactions,5/15/2019,405,883484,2531,81.90%,66.68%,106.44%,0,10
Client Transactions,Client Transactions,5/16/2019,382,871283,2459,76.02%,65.62%,116.88%,0,4
Client Transactions,Client Transactions,5/17/2019,337,856252,2267,80.47%,63.82%,114.60%,0,0
Client Transactions,Client Transactions,5/20/2019,313,831198,2505,72.85%,63.95%,99.88%,0,16
Client Transactions,Client Transactions,5/21/2019,330,781476,2231,71.43%,60.15%,105.87%,0,23.5
Client Transactions,Client Transactions,5/22/2019,412,815477,2255,80.67%,64.75%,115.74%,0,0
Client Transactions,Client Transactions,5/23/2019,409,832751,2043,75.33%,65.42%,128.05%,0,16
Client Transactions,Client Transactions,5/24/2019,260,695211,2461,75.03%,61.50%,97.85%,0,8
Client Transactions,Client Transactions,5/27/2019,0,0,341,#DIV/0!,#DIV/0!,0.00%,0,0
